TEA,SLN,dem_totp,dem_popwh,dem_popbl,dem_popas,dem_pophi,dem_popm,dem_popf,dem_thh,dem_popse,dem_popch,dem_totp_sd,dem_popwh_sd,dem_popbl_sd,dem_popas_sd,dem_pophi_sd,dem_popm_sd,dem_popf_sd,dem_thh_sd,dem_popse_sd,dem_popch_sd,dem_perwh_sd,dem_perbl_sd,dem_peras_sd,dem_perhi_sd,dem_perm_sd,dem_perf_sd,dem_perse_sd,dem_perch_sd
281,281,101973,80053,10141,5148,27018,53197,48777,54655,8970,12999,4,4,2,4,2,4,4,4,4,2,3,1,4,0,4,0,1,0
145,145,58548,52362,2095,803,28874,31131,27411,20192,5082,15535,2,3,0,2,2,2,2,2,2,2,4,0,2,2,4,0,1,2
168,168,42015,32716,5403,1301,18337,22947,19061,16474,3585,8168,1,2,1,2,1,1,0,2,0,0,3,1,3,2,4,0,1,0
181,181,56509,44242,6122,2921,13984,29776,26733,27644,6517,8412,2,2,1,4,1,2,2,4,3,0,3,1,4,0,4,0,3,0
283,283,70953,55366,7992,3937,17424,38140,32821,37971,6691,7529,3,4,1,4,1,4,3,4,3,0,3,1,4,0,4,0,2,0
188,188,61611,44800,11669,1145,27268,31134,30450,24925,5817,14710,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,1,2,1
202,202,62753,42108,15407,1386,27142,32092,30633,25974,6022,14223,2,2,3,2,2,3,2,3,2,2,2,2,2,2,3,1,2,1
131,131,85478,63345,12444,3652,28459,44620,40839,42067,6666,13413,4,4,2,4,2,4,4,4,3,2,3,1,4,1,4,0,0,0
122,122,28543,17409,8312,719,14134,14727,13807,8975,2814,7638,0,0,1,2,1,0,0,0,0,0,2,2,2,2,4,0,2,2
260,260,39224,26504,8933,1032,16732,20327,18879,15549,3749,8432,1,1,2,2,1,1,0,1,1,0,2,2,2,2,4,0,2,0
105,105,24670,19317,2445,148,19617,12182,12477,7022,1706,8261,0,0,0,1,1,0,0,0,0,0,3,1,1,4,2,2,0,4
103,103,21207,14965,2338,272,15258,10507,10691,5790,1579,7009,0,0,0,1,1,0,0,0,0,0,2,1,2,4,2,2,0,4
116,116,61063,54320,2330,983,31731,32511,28553,20548,4676,16470,2,4,0,2,2,3,2,2,1,2,4,0,2,2,4,0,0,2
278,278,63772,56941,2336,984,32169,33885,29879,21532,5186,17101,3,4,0,2,2,3,2,2,2,3,4,0,2,2,4,0,1,2
265,265,21277,13613,4810,460,12774,10501,10768,5996,1774,6898,0,0,0,1,0,0,0,0,0,0,2,2,2,3,2,2,1,4
271,271,52497,46145,2290,874,28942,28202,24290,17444,3612,14268,2,3,0,2,2,2,2,2,0,2,4,0,2,2,4,0,0,2
272,272,90940,72045,10448,220,71749,46398,44516,26023,8041,28064,4,4,2,1,4,4,4,3,4,4,3,1,1,4,3,1,1,3
289,289,58401,40534,13830,338,35031,30185,28189,19882,5535,15905,2,2,2,1,3,2,2,2,2,2,2,2,1,3,4,0,2,2
112,112,52081,36082,12212,486,28722,27306,24737,19119,4736,12833,2,2,2,1,2,2,2,2,2,2,2,2,1,2,4,0,2,1
130,130,89502,72422,8250,252,73046,45772,43706,25612,7889,26968,4,4,1,1,4,4,4,3,4,4,3,1,1,4,3,1,1,3
136,136,75725,61213,6873,361,62950,38160,37551,21315,6354,23233,4,4,1,1,4,4,4,2,2,4,3,1,1,4,2,2,1,3
149,149,80078,62930,9270,344,64240,40069,39995,22770,7210,24308,4,4,2,1,4,4,4,2,3,4,3,1,1,4,2,2,1,3
152,152,89800,68964,13077,371,67892,45684,44081,25825,7816,28225,4,4,2,1,4,4,4,3,4,4,3,1,1,4,3,1,1,3
157,157,54066,40810,8571,554,32706,28479,25558,19652,4945,13154,2,2,1,2,2,2,2,2,2,2,3,1,2,3,4,0,2,1
158,158,86772,71760,6410,286,68630,45070,41674,26191,7740,25345,4,4,1,1,4,4,4,3,4,4,4,0,1,4,4,0,1,2
275,275,72497,59921,5033,445,55972,37753,34716,22605,6588,20727,4,4,0,1,4,4,3,2,3,4,4,0,1,4,4,0,2,2
190,190,80013,66979,4829,237,66111,41518,38468,23372,6834,23807,4,4,0,1,4,4,4,2,3,4,4,0,1,4,4,0,1,3
192,192,77442,59797,11570,318,54886,40049,37361,24495,7121,22609,4,4,2,1,4,4,4,3,3,4,3,1,1,4,4,0,2,2
197,197,68086,52580,9708,407,46283,35558,32503,22823,6469,18672,3,3,2,1,4,3,3,2,3,3,3,1,1,4,4,0,2,2
204,204,70605,57617,5914,521,52178,36950,33622,22944,6454,19640,3,4,1,2,4,4,3,2,3,4,4,1,1,4,4,0,2,2
239,239,90247,73902,7326,236,73920,46370,43837,26153,7869,27073,4,4,1,1,4,4,4,3,4,4,4,1,1,4,3,1,1,3
211,211,55992,43695,6425,547,39515,29283,26688,18117,5209,15751,2,2,1,2,3,2,2,2,2,2,3,1,2,4,4,0,2,2
229,229,88697,71865,8977,266,68276,46070,42590,26701,7918,26389,4,4,2,1,4,4,4,3,4,4,3,1,1,4,4,0,1,3
171,171,55331,48033,2804,1663,11641,26688,28650,25606,6332,10712,2,3,0,2,0,2,2,3,2,1,4,0,3,0,1,3,3,0
125,125,67389,46821,7611,2155,34606,33734,33650,24123,7585,17753,3,3,1,3,3,3,3,3,4,3,2,1,3,2,2,2,2,2
147,147,71546,48790,8970,1705,39456,35494,36042,24084,7736,20263,3,3,2,2,3,3,4,3,4,4,2,1,2,2,2,2,2,2
153,153,44191,36808,2951,1605,9909,21468,22730,19006,7151,9460,1,2,0,2,0,1,1,2,3,0,4,0,3,0,1,3,4,0
159,159,72701,50953,10692,5702,15407,36352,36362,33470,8102,15737,4,3,2,4,1,4,4,4,4,2,2,1,4,0,2,2,2,0
166,166,74207,49990,12281,1132,40272,35994,38197,25583,7572,21476,4,3,2,2,3,3,4,3,4,4,2,2,2,2,1,3,2,2
198,198,58668,41036,6580,2481,25405,29122,29540,22388,7144,14801,2,2,1,3,2,2,2,2,3,2,2,1,4,2,2,2,3,2
199,199,55980,41596,5944,1000,24742,27247,28741,21835,7253,13167,2,2,1,2,2,2,2,2,3,2,3,1,2,2,1,3,4,1
250,250,45906,12762,30338,1,14153,21067,24848,16695,6304,12870,1,0,4,1,1,1,2,2,2,2,0,4,1,0,0,4,4,2
172,172,80355,57548,15431,429,57566,40044,40284,23427,7497,25121,4,4,3,1,4,4,4,2,4,4,2,2,1,4,2,2,2,3
183,183,47661,14439,30609,430,13771,21932,25729,16766,7378,12783,2,0,4,1,1,1,2,2,3,2,0,4,1,0,0,4,4,2
210,210,52228,39300,7671,451,40595,25593,26615,14526,4554,16173,2,2,1,1,3,2,2,1,1,2,3,1,1,4,2,2,1,3
213,213,46631,13290,31120,235,12339,21482,25135,16375,7359,12900,1,0,4,1,0,1,2,2,3,2,0,4,1,0,0,4,4,2
215,215,38307,9532,26997,66,9795,17641,20670,13721,5829,10191,0,0,4,1,0,0,1,1,2,1,0,4,1,0,0,4,4,2
277,277,46419,29444,12101,332,30088,22247,24158,14183,4327,14168,1,1,2,1,2,1,2,1,1,2,2,2,1,3,1,3,2,3
219,219,51875,17578,31083,489,16165,23791,28072,18008,7249,14887,2,0,4,1,1,2,2,2,3,2,0,4,1,0,0,4,4,2
225,225,58406,31689,21718,363,31441,27941,30434,18854,6338,17759,2,2,4,1,2,2,2,2,2,3,1,3,1,2,1,3,2,3
274,274,46839,37192,5138,410,38548,23021,23799,12841,3794,14616,1,2,1,1,3,1,1,1,1,2,3,1,1,4,2,2,1,3
236,236,24409,19102,3011,271,19526,12044,12365,6983,1820,7848,0,0,0,1,1,0,0,0,0,0,3,1,2,4,2,2,0,4
164,164,70226,58799,4363,237,59919,36381,33832,19840,5655,21400,3,4,0,1,4,4,3,2,2,4,4,0,1,4,4,0,1,3
287,287,64676,53296,4929,343,54884,32588,32080,18016,5243,19892,3,3,0,1,4,3,3,2,2,4,4,0,1,4,2,2,1,3
114,114,56508,23131,30238,44,24560,26928,29580,18802,7151,16580,2,1,4,1,2,2,2,2,3,2,0,4,1,2,0,4,4,2
115,115,70872,43345,22825,294,43911,35126,35727,21282,7312,22153,3,2,4,1,4,3,3,2,3,4,2,3,1,3,2,2,2,3
118,118,34503,9530,22823,0,10726,15785,18724,12625,4377,9768,0,0,4,1,0,0,0,1,1,0,0,4,1,0,0,4,4,2
6,6,56623,42790,6251,4201,9113,27179,29438,25363,9355,11906,2,2,1,4,0,2,2,3,4,1,3,1,4,0,1,3,4,0
